Row,j1,j2,j3,j4,j5,j6
i1,0.316313927800343,-0.594686444423671,0.866622846102014,-0.225298482239203,-0.502643781366748,0.59863584523342
i2,0.603004871605338,-0.179466057025331,-0.290895225219319,-0.826889202986555,0.724290271915171,-0.62452683916176
i3,-0.854347376757242,0.258615606021838,-0.888507378321982,0.039129864716273,0.889362992573029,-0.578803802972437
i4,-0.620477522778487,-0.800824939146633,0.824872088037208,-0.108257372469287,-0.0953438927123023,0.53595908309545
i5,0.679886501722337,-0.892871716629248,-0.194752194938994,-0.742187546613785,-0.716681051807527,-0.664605232796419
i6,-0.422972539310377,0.107255668243037,0.760817320499718,0.0536959371565462,0.738372993128029,0.377085142247765
i7,0.957751528482573,-0.110465201693305,0.913916173149883,-0.0321970922460081,-0.276651633241512,-0.721071049789925
i8,0.132579386358191,0.434163937548464,-0.236330325721151,0.637016966125795,0.677434976470453,-0.0353823590965626
i9,-0.826574863305333,-0.327625626166765,-0.097069499820655,0.151937074741525,-0.173243962626925,0.843296760195757
i10,-0.671999681088943,-0.504982624792955,0.63466583852139,0.0348156110044513,0.117011490023323,-0.498799513380936
i11,-0.339927239036187,0.036870077166407,-0.378077145654302,0.9545435259609,0.405018361637421,0.331567923777916
i12,0.0457431035594635,0.642798969458208,0.70033105063563,0.786786223408006,-0.133458914670959,0.0337692499307016
i13,0.260621987788942,-0.164083786755063,-0.701031291835482,0.872128717139222,0.458510433261553,-0.725437447737831
i14,0.497141361346693,0.567712328988188,0.509120257827266,-0.28200926985807,-0.175775475722005,-0.89599792362906
i15,-0.653323193312566,0.781476702297436,0.386394838070602,0.25503578965292,-0.463552094053948,0.0415762017601964
i16,-0.639907242313087,-0.795049896047388,0.708980015411578,-0.25850450502652,0.503734275905743,0.386537221814937
i17,0.88470997503884,0.927842413577045,0.789145020228083,0.234567799821912,0.189257970988697,0.606632219470114
i18,0.427952878316893,-0.0070112246176309,0.663346281551997,-0.0980178585537251,0.811083611962876,0.341197493512788
i19,0.834480461329851,-0.957101907129701,0.0215855114005126,-0.234111135267057,0.732317832182816,-0.148640543771301
i20,0.782356849391242,-0.457552415947727,0.94391955541407,0.297582616957634,-0.373536205862521,-0.933596499128095
i21,0.0681826776414438,-0.885972391723729,-0.59596820106946,0.301049613802869,0.20723665043778,0.891745910659495
i22,-0.357341503403629,-0.0960346024643655,-0.464794406678608,-0.901006605594056,-0.727538964965822,-0.506927478950465
i23,-0.614982346001617,-0.29284777457173,0.842206308927423,0.415026816686158,0.993962426305587,0.722350861320897
i24,0.0008201077040637,-0.762715315562848,-0.952760067687433,-1,-0.613607254199115,-0.75229369254206
i25,-0.490743877459773,0.872109654953595,-0.996716672976178,-0.69513633492081,0.885477030779317,0.0240799975038284
i26,-0.343096432716827,-0.56047264550404,-0.856709251229788,0.644478455077598,0.253497751125322,0.403061024028545
i27,0.653646695980462,0.494897374734654,-0.822994872651504,0.563976977971927,0.795982777864699,-0.047250964528962
i28,0.39248065948496,-0.486489463688564,0.630902357576212,0.468022754437394,0.241991671530413,0.438267988769245
i29,-0.830723766941378,0.58329470245624,-0.89627691489966,-0.382517531783626,-0.629940409762195,0.592037276759014
i30,-0.690805005011683,-0.215640839726805,-0.681742869077449,-0.451866642237446,-0.149890351689676,0.644723222564592
